stage,config,models,year,games,accuracy,log_loss,brier,auc,avg_confidence
screen_xgboost,medium_15g_5sp_7bp__all_re24,xgboost,2025,2430,0.5489711934156378,0.6819013560612185,0.24469657660097274,0.569119269773831,0.5693546693450139
screen_xgboost,medium_15g_5sp_7bp__all_re24,xgboost,2026,680,0.5529411764705883,0.6850752169419142,0.2460004120859523,0.5508720422215232,0.5570062742952038
screen_xgboost,long_30g_5sp_15bp__no_re24,xgboost,2024,2485,0.5529175050301811,0.6824700556015217,0.24505567980473986,0.5777680670829506,0.5757118137259758
screen_xgboost,long_30g_5sp_15bp__no_re24,xgboost,2025,2430,0.5539094650205761,0.6806225639571464,0.24407117539180814,0.5718031621206092,0.5676537098401367
screen_xgboost,long_30g_5sp_15bp__no_re24,xgboost,2026,680,0.5573529411764706,0.6844402705146893,0.2457159781213281,0.5531744783474887,0.5576214473329338
screen_xgboost,long_30g_5sp_15bp__offense_only,xgboost,2024,2485,0.5492957746478874,0.6824727303282343,0.2450655674784578,0.5778407350887848,0.5762507836293805
screen_xgboost,long_30g_5sp_15bp__offense_only,xgboost,2025,2430,0.5534979423868313,0.6805793501132285,0.24403356160078685,0.5718969925802284,0.5675151142809126
screen_xgboost,long_30g_5sp_15bp__offense_only,xgboost,2026,680,0.5588235294117647,0.6848003593858627,0.24588383429317426,0.5527157387018978,0.5566487465272931
screen_xgboost,long_30g_5sp_15bp__sp_only,xgboost,2024,2485,0.5565392354124749,0.6822992166710213,0.24496154655042685,0.5797232906149271,0.5764953301536164
screen_xgboost,long_30g_5sp_15bp__sp_only,xgboost,2025,2430,0.5469135802469136,0.6811179900450722,0.24433892939605198,0.569934741768339,0.5692728276769483
screen_xgboost,long_30g_5sp_15bp__sp_only,xgboost,2026,680,0.55,0.6840205089400836,0.24554568603319132,0.5548128342245988,0.5562875190348018
screen_xgboost,long_30g_5sp_15bp__bullpen_only,xgboost,2024,2485,0.5529175050301811,0.6826712540363193,0.245115214991299,0.5784756069076129,0.5761084594127317
screen_xgboost,long_30g_5sp_15bp__bullpen_only,xgboost,2025,2430,0.5534979423868313,0.6805137057796644,0.24403040494895722,0.5716049239495594,0.5676549554709217
screen_xgboost,long_30g_5sp_15bp__bullpen_only,xgboost,2026,680,0.5558823529411765,0.684193557156568,0.24558882999741247,0.5542099192618224,0.5569755533308376
screen_xgboost,long_30g_5sp_15bp__offense_sp,xgboost,2024,2485,0.5553319919517102,0.6815261863770532,0.2446095988107414,0.5804120146166503,0.5761544435896544
screen_xgboost,long_30g_5sp_15bp__offense_sp,xgboost,2025,2430,0.5448559670781893,0.6811576300299926,0.24436057583945323,0.570559823230238,0.5689461342673571
screen_xgboost,long_30g_5sp_15bp__offense_sp,xgboost,2026,680,0.5544117647058824,0.684527672257102,0.24576041618400427,0.5531351578064381,0.5558905505228275
screen_xgboost,long_30g_5sp_15bp__offense_bullpen,xgboost,2024,2485,0.5505030181086519,0.6827526546057223,0.24516023383853583,0.5783263779670607,0.576481749891915
screen_xgboost,long_30g_5sp_15bp__offense_bullpen,xgboost,2025,2430,0.5522633744855967,0.6805486208710096,0.24405400480855213,0.57147287890275,0.5681136248799344
screen_xgboost,long_30g_5sp_15bp__offense_bullpen,xgboost,2026,680,0.5485294117647059,0.6854129242546284,0.24614832057338323,0.5513395197651253,0.556724042562293
screen_xgboost,long_30g_5sp_15bp__sp_bullpen,xgboost,2024,2485,0.5513078470824949,0.6820868735687204,0.24484793154183723,0.5798170453188828,0.5757064200473023
screen_xgboost,long_30g_5sp_15bp__sp_bullpen,xgboost,2025,2430,0.5460905349794238,0.6818117205378252,0.24465645830477745,0.5681734587408702,0.5691460821261459
screen_xgboost,long_30g_5sp_15bp__sp_bullpen,xgboost,2026,680,0.5514705882352942,0.6849574923231444,0.24593162539585042,0.5527157387018979,0.5564145754657539
screen_xgboost,long_30g_5sp_15bp__all_re24,xgboost,2024,2485,0.5553319919517102,0.6816908443542026,0.24466662280335813,0.5807286394992136,0.5760955335318763
screen_xgboost,long_30g_5sp_15bp__all_re24,xgboost,2025,2430,0.5493827160493827,0.6817264382675947,0.24462025703798132,0.5684648449681965,0.5693079248816797
screen_xgboost,long_30g_5sp_15bp__all_re24,xgboost,2026,680,0.5573529411764706,0.6848265537379871,0.2458648727377358,0.5537642864632484,0.5573632489378545
screen_xgboost,longsp_15g_8sp_15bp__no_re24,xgboost,2024,2485,0.5529175050301811,0.6824700556015217,0.24505567980473986,0.5777680670829506,0.5757118137259758
screen_xgboost,longsp_15g_8sp_15bp__no_re24,xgboost,2025,2430,0.5539094650205761,0.6806225639571464,0.24407117539180814,0.5718031621206092,0.5676537098401367
screen_xgboost,longsp_15g_8sp_15bp__no_re24,xgboost,2026,680,0.5573529411764706,0.6844402705146893,0.2457159781213281,0.5531744783474887,0.5576214473329338
screen_xgboost,longsp_15g_8sp_15bp__offense_only,xgboost,2024,2485,0.5525150905432595,0.682190655216836,0.2449200728962029,0.579112100780143,0.5748331645864677
screen_xgboost,longsp_15g_8sp_15bp__offense_only,xgboost,2025,2430,0.551440329218107,0.6809035438332159,0.24418433904580963,0.5718359174810582,0.5675660691450162
screen_xgboost,longsp_15g_8sp_15bp__offense_only,xgboost,2026,680,0.5573529411764706,0.6851380215153875,0.24604740130527544,0.5509856348956695,0.5574515811660711
screen_xgboost,longsp_15g_8sp_15bp__sp_only,xgboost,2024,2485,0.5509054325955735,0.6821535956775644,0.24489377222726436,0.5789164811037232,0.5753663089893393
