date,team,il_count
2018-06-01,COL,20
2018-07-01,COL,24
2018-08-01,COL,32
2018-09-01,COL,25
2018-10-01,COL,3
2019-04-01,COL,3
2019-05-01,COL,13
2019-06-01,COL,13
2019-07-01,COL,29
2019-08-01,COL,30
2019-09-01,COL,28
2019-10-01,COL,4
2020-04-01,COL,0
2020-05-01,COL,0
2020-06-01,COL,0
2020-07-01,COL,0
2020-08-01,COL,2
2020-09-01,COL,7
2020-10-01,COL,4
2021-04-01,COL,4
2021-05-01,COL,8
2021-06-01,COL,14
2021-07-01,COL,23
2021-08-01,COL,35
2021-09-01,COL,34
2021-10-01,COL,19
2022-04-01,COL,2
2022-05-01,COL,18
2022-06-01,COL,23
2022-07-01,COL,24
2022-08-01,COL,25
2022-09-01,COL,33
2022-10-01,COL,22
2023-04-01,COL,12
2023-05-01,COL,23
2023-06-01,COL,25
2023-07-01,COL,27
2023-08-01,COL,35
2023-09-01,COL,32
2023-10-01,COL,23
2024-04-01,COL,14
2024-05-01,COL,26
2024-06-01,COL,32
2024-07-01,COL,27
2024-08-01,COL,28
2024-09-01,COL,33
2024-10-01,COL,17
2025-04-01,COL,14
2025-05-01,COL,24
2025-06-01,COL,28
2025-07-01,COL,26
2025-08-01,COL,26
2025-09-01,COL,31
2025-10-01,COL,23
2026-04-01,COL,19
2015-04-01,DET,2
2015-05-01,DET,13
2015-06-01,DET,18
2015-07-01,DET,17
2015-08-01,DET,19
2015-09-01,DET,21
2015-10-01,DET,5
2016-04-01,DET,6
2016-05-01,DET,20
2016-06-01,DET,19
2016-07-01,DET,22
2016-08-01,DET,20
2016-09-01,DET,19
2016-10-01,DET,11
2017-04-01,DET,4
2017-05-01,DET,15
2017-06-01,DET,18
2017-07-01,DET,21
2017-08-01,DET,23
2017-09-01,DET,16
2017-10-01,DET,2
2018-04-01,DET,13
2018-05-01,DET,14
2018-06-01,DET,20
2018-07-01,DET,23
2018-08-01,DET,24
2018-09-01,DET,33
2018-10-01,DET,6
2019-04-01,DET,5
2019-05-01,DET,10
2019-06-01,DET,17
2019-07-01,DET,22
2019-08-01,DET,26
2019-09-01,DET,31
2019-10-01,DET,6
2020-04-01,DET,1
2020-05-01,DET,1
2020-06-01,DET,1
2020-07-01,DET,1
2020-08-01,DET,4
2020-09-01,DET,6
2020-10-01,DET,6
2021-04-01,DET,2
2021-05-01,DET,6
2021-06-01,DET,19
2021-07-01,DET,27
2021-08-01,DET,31
2021-09-01,DET,32
2021-10-01,DET,31
2022-04-01,DET,1
2022-05-01,DET,25
2022-06-01,DET,28
2022-07-01,DET,27
2022-08-01,DET,30
2022-09-01,DET,30
2022-10-01,DET,24
2023-04-01,DET,9
2023-05-01,DET,29
2023-06-01,DET,45
2023-07-01,DET,49
2023-08-01,DET,40
2023-09-01,DET,34
2023-10-01,DET,26
2024-04-01,DET,17
2024-05-01,DET,27
2024-06-01,DET,40
2024-07-01,DET,42
2024-08-01,DET,48
2024-09-01,DET,48
2024-10-01,DET,39
2025-04-01,DET,23
2025-05-01,DET,34
2025-06-01,DET,44
2025-07-01,DET,46
2025-08-01,DET,51
2025-09-01,DET,52
2025-10-01,DET,37
2026-04-01,DET,31
2015-04-01,HOU,4
2015-05-01,HOU,9
2015-06-01,HOU,9
2015-07-01,HOU,14
2015-08-01,HOU,11
2015-09-01,HOU,17
2015-10-01,HOU,4
2016-04-01,HOU,3
2016-05-01,HOU,14
2016-06-01,HOU,16
2016-07-01,HOU,13
2016-08-01,HOU,12
2016-09-01,HOU,16
2016-10-01,HOU,6
2017-04-01,HOU,2
2017-05-01,HOU,11
2017-06-01,HOU,11
2017-07-01,HOU,16
2017-08-01,HOU,23
2017-09-01,HOU,23
2017-10-01,HOU,4
2018-04-01,HOU,3
2018-05-01,HOU,17
2018-06-01,HOU,22
2018-07-01,HOU,18
2018-08-01,HOU,17
2018-09-01,HOU,13
2018-10-01,HOU,1
2019-04-01,HOU,6
2019-05-01,HOU,12
2019-06-01,HOU,28
2019-07-01,HOU,25
2019-08-01,HOU,28
2019-09-01,HOU,27
2019-10-01,HOU,20
2020-04-01,HOU,0
2020-05-01,HOU,0
2020-06-01,HOU,0
2020-07-01,HOU,1
2020-08-01,HOU,10
2020-09-01,HOU,11
2020-10-01,HOU,5
2021-04-01,HOU,6
2021-05-01,HOU,8
2021-06-01,HOU,25
2021-07-01,HOU,36
2021-08-01,HOU,38
2021-09-01,HOU,47
2021-10-01,HOU,38
2022-04-01,HOU,0
2022-05-01,HOU,30
2022-06-01,HOU,38
2022-07-01,HOU,37
