date,year,home_team,away_team,home_score,away_score,home_win,home_ml,away_ml
2026-03-30,2026,BAL,TEX,2,5,0,-129.0,110.0
2026-03-30,2026,CHC,LAA,7,2,1,-192.0,161.0
2026-03-30,2026,HOU,BOS,8,1,1,60.0,-130.0
2026-03-30,2026,KCR,MIN,3,1,1,-159.0,134.0
2026-03-30,2026,LAD,CLE,2,4,0,-176.0,148.0
2026-03-30,2026,MIA,CHW,4,9,0,-139.0,66.0
2026-03-30,2026,MIL,TBR,2,3,0,-154.0,131.0
2026-03-30,2026,PHI,WSN,2,13,0,-167.0,140.0
2026-03-30,2026,SDP,SFG,2,3,0,-117.0,-53.0
2026-03-30,2026,SEA,NYY,2,1,1,-56.0,-114.0
2026-03-30,2026,STL,NYM,2,4,0,126.0,-150.0
2026-03-30,2026,TOR,COL,5,14,0,-279.0,225.0
2026-03-31,2026,ARI,DET,7,5,1,-112.0,-107.0
2026-03-31,2026,ATL,ATH,2,5,0,-148.0,124.0
2026-03-31,2026,BAL,TEX,5,8,0,108.0,-128.0
2026-03-31,2026,CIN,PIT,3,8,0,50.0,-120.0
2026-03-31,2026,HOU,BOS,9,2,1,-146.0,123.0
2026-03-31,2026,LAD,CLE,4,1,1,-273.0,222.0
2026-03-31,2026,MIA,CHW,9,2,1,-148.0,124.0
2026-03-31,2026,MIL,TBR,6,2,1,-125.0,107.0
2026-03-31,2026,PHI,WSN,3,2,1,-182.0,151.0
2026-03-31,2026,SDP,SFG,3,9,0,116.0,-136.0
2026-03-31,2026,TOR,COL,5,1,1,-256.0,209.0
2026-04-01,2026,ATL,ATH,5,1,1,-223.0,184.0
2026-04-01,2026,BAL,TEX,8,3,1,-117.0,-52.0
2026-04-01,2026,CHC,LAA,6,2,1,-164.0,139.0
2026-04-01,2026,CIN,PIT,3,8,0,122.0,-145.0
2026-04-01,2026,HOU,BOS,6,4,1,122.0,-144.0
2026-04-01,2026,KCR,MIN,13,9,1,-106.0,-112.0
2026-04-01,2026,LAD,CLE,1,4,0,-286.0,230.0
2026-04-01,2026,MIL,TBR,8,2,1,-139.0,117.0
2026-04-01,2026,PHI,WSN,6,5,1,-282.0,229.0
2026-04-01,2026,SDP,SFG,7,1,1,-154.0,130.0
2026-04-01,2026,SEA,NYY,3,5,0,-120.0,51.0
2026-04-01,2026,STL,NYM,2,1,1,138.0,-164.0
2026-04-01,2026,TOR,COL,1,2,0,-272.0,222.0
2026-04-02,2026,ARI,ATL,2,17,0,-2.0,-120.0
2026-04-02,2026,KCR,MIN,1,5,0,-154.0,127.0
2026-04-02,2026,SFG,NYM,7,2,1,104.0,-124.0
2026-04-03,2026,BOS,SDP,5,2,1,-126.0,106.0
2026-04-03,2026,CHW,TOR,5,4,1,166.0,-199.0
2026-04-03,2026,CLE,CHC,4,1,1,-59.0,-114.0
2026-04-03,2026,COL,PHI,1,10,0,159.0,-196.0
2026-04-03,2026,LAA,SEA,1,3,0,134.0,-160.0
2026-04-03,2026,MIN,TBR,10,4,1,-118.0,-106.0
2026-04-03,2026,NYY,MIA,8,2,1,-164.0,138.0
2026-04-03,2026,ATH,HOU,11,4,1,-110.0,-108.0
2026-04-03,2026,PIT,BAL,5,4,1,-53.0,-120.0
2026-04-03,2026,SFG,NYM,3,10,0,114.0,-135.0
2026-04-03,2026,TEX,CIN,3,5,0,-165.0,140.0
2026-04-03,2026,WSN,LAD,6,13,0,229.0,-282.0
2026-04-04,2026,ARI,ATL,2,1,1,-112.0,-106.0
2026-04-04,2026,BOS,SDP,2,3,0,-145.0,122.0
2026-04-04,2026,CHW,TOR,6,3,1,124.0,-152.0
2026-04-04,2026,COL,PHI,1,2,0,204.0,-251.0
2026-04-04,2026,DET,STL,11,6,1,-164.0,134.0
2026-04-04,2026,KCR,MIL,2,5,0,-110.0,-59.0
2026-04-04,2026,MIN,TBR,1,7,0,-109.0,-60.0
2026-04-04,2026,NYY,MIA,9,7,1,-172.0,164.0
2026-04-04,2026,PIT,BAL,3,2,1,-61.0,-108.0
2026-04-04,2026,WSN,LAD,5,10,0,244.0,-312.0
2026-04-05,2026,ARI,ATL,6,5,1,-110.0,-109.0
2026-04-05,2026,BOS,SDP,6,8,0,-156.0,128.0
