game_date,home_team,away_team,game_number,game_id,home_offense_re24_15g,away_offense_re24_15g,home_sp_re24_last3,away_sp_re24_last3,home_bullpen_re24_15d,away_bullpen_re24_15d,offense_re24_diff,sp_re24_diff,bullpen_re24_diff
2015-04-13,LAD,SEA,1,LAN201504130,0.09728917393964642,-1.419248692742795,,,-0.5786592795943531,-0.09192607915410515,1.5165378666824414,,-0.486733200440248
2015-04-13,MIN,KCR,1,MIN201504130,-1.575170400607006,2.557463309284912,,,-0.24260100803689602,1.2956856762287323,-4.132633709891918,,-1.5382866842656284
2015-04-13,NYM,PHI,1,NYN201504130,-1.1555362893478986,-1.1747636738024643,,,0.6933596546678199,0.36878643565299246,0.01922738445456562,,0.32457321901482744
2015-04-13,PIT,DET,1,PIT201504130,-0.4699388679657222,3.0812265089887787,,,0.43944872112090133,0.2691220319031206,-3.551165376954501,,0.1703266892177807
2015-04-13,SDP,ARI,1,SDN201504130,0.1802047681415597,-0.11775199752781663,,,0.41305135260118186,0.7775092374713882,0.29795676566937634,,-0.36445788487020636
2015-04-13,SFG,COL,1,SFN201504130,-0.9992063980996703,1.4204571164693827,,,0.1986736955404797,0.7617224130818029,-2.419663514569053,,-0.5630487175413232
2015-04-13,STL,MIL,1,SLN201504130,-0.8836920825456074,-1.8070440256046236,,,0.371788970979154,-0.5353243048323305,0.9233519430590162,,0.9071132758114845
2015-04-13,TEX,LAA,1,TEX201504130,-1.5401372850173929,-1.4737106922712904,,,0.31413980817796033,0.7132393352888055,-0.06642659274610252,,-0.3990995271108451
2015-04-13,TOR,TBR,1,TOR201504130,2.0053941977894847,0.5994847984871507,,,-0.12389228868763687,-1.005185335631634,1.405909399302334,,0.8812930469439971
2015-04-14,ATL,MIA,1,ATL201504140,0.4874923911874559,-0.9641191137118471,,,1.7127427389829786,-1.0004615418756504,1.451611504899303,,2.713204280858629
