team,barrel_pct,hard_hit_pct,avg_exit_velo,year
SEA,0.0648074369189907,0.3152722443559096,88.0076923076923,2019
SFG,0.065625,0.3596354166666666,86.05555555555556,2019
STL,0.0691823899371069,0.3396226415094339,86.29310344827586,2019
TBR,0.0790326063485208,0.3817749946015979,89.14814814814815,2019
TEX,0.0761703253107643,0.3903729172176672,88.32380952380952,2019
TOR,0.0862857142857142,0.3845714285714285,86.84,2019
WSN,0.0731813246471227,0.3656894679695983,84.95757575757575,2019
ARI,0.0551290997906489,0.3600837404047453,87.41176470588235,2020
ATL,0.1003811944091486,0.4307496823379924,87.82000000000001,2020
BAL,0.0670136629798308,0.3350683148991542,87.71052631578948,2020
BOS,0.0759943181818181,0.3636363636363636,87.60000000000001,2020
CHC,0.0721925133689839,0.3910427807486631,87.75,2020
CHW,0.0927498367080339,0.3932070542129327,86.72,2020
CIN,0.0894064613072877,0.3741547708489857,87.06842105263158,2020
CLE,0.0636065573770491,0.3573770491803278,86.85263157894737,2020
COL,0.0569155446756425,0.3188494492044064,86.42941176470588,2020
DET,0.0712643678160919,0.3931034482758621,88.30952380952381,2020
HOU,0.057288351368555,0.3520050922978994,88.55882352941177,2020
KCR,0.0691056910569105,0.3434959349593496,86.535,2020
LAA,0.0640932265112891,0.3729060451565914,88.71052631578948,2020
LAD,0.1034047919293821,0.4394703656998739,89.38125,2020
MIA,0.0642907058001397,0.3417190775681342,87.39166666666667,2020
MIL,0.0819165378670788,0.3670788253477589,87.42105263157895,2020
MIN,0.0783475783475783,0.3981481481481481,89.03157894736842,2020
NYM,0.0736457699330493,0.3657942787583688,88.50454545454545,2020
NYY,0.0762886597938144,0.3910652920962199,87.54736842105264,2020
OAK,0.075807514831905,0.3711272247857614,88.62222222222222,2020
PHI,0.0881561238223418,0.3761776581426648,88.39444444444445,2020
PIT,0.0712742980561555,0.3772498200143988,87.16842105263159,2020
SDP,0.105229180116204,0.4273724983860555,88.83888888888889,2020
SEA,0.069423929098966,0.3545051698670605,86.63157894736842,2020
SFG,0.0834411384217335,0.3906856403622251,87.47727272727273,2020
STL,0.0694980694980695,0.3482625482625482,88.27368421052631,2020
TBR,0.086219602063375,0.3883566691230656,88.82222222222222,2020
TEX,0.0733590733590733,0.3799227799227799,88.41818181818182,2020
TOR,0.0837468982630273,0.413151364764268,88.97894736842105,2020
WSN,0.0651757188498402,0.3495207667731629,87.61578947368422,2020
