Date,year,home_team,away_team,home_win,home_runs,away_runs
2026-04-18,2026,HOU,STL,0,5,7
2026-04-18,2026,LAA,SDP,0,1,4
2026-04-18,2026,MIA,MIL,0,2,5
2026-04-18,2026,MIN,CIN,0,4,5
2026-04-18,2026,NYY,KCR,1,13,4
2026-04-18,2026,OAK,CHW,1,7,6
2026-04-18,2026,PHI,ATL,0,1,3
2026-04-18,2026,PIT,TBR,0,7,8
2026-04-18,2026,SEA,TEX,1,7,3
2026-04-18,2026,WSN,SFG,0,6,7
2026-04-19,2026,ARI,TOR,0,4,10
2026-04-19,2026,BOS,DET,0,2,6
2026-04-19,2026,CHC,NYM,1,2,1
2026-04-19,2026,CLE,BAL,1,8,4
2026-04-19,2026,COL,LAD,1,9,6
2026-04-19,2026,HOU,STL,0,5,7
2026-04-19,2026,LAA,SDP,0,1,2
2026-04-19,2026,MIA,MIL,1,5,3
2026-04-19,2026,MIN,CIN,0,4,7
2026-04-19,2026,NYY,KCR,1,7,0
2026-04-19,2026,OAK,CHW,0,4,7
2026-04-19,2026,PHI,ATL,0,2,4
2026-04-19,2026,PIT,TBR,1,6,3
2026-04-19,2026,SEA,TEX,1,5,2
2026-04-19,2026,WSN,SFG,1,3,0
2026-04-20,2026,BOS,DET,1,8,6
2026-04-20,2026,CHC,PHI,1,5,1
2026-04-20,2026,CLE,HOU,0,2,9
2026-04-20,2026,COL,LAD,0,3,12
2026-04-20,2026,KCR,BAL,0,5,7
2026-04-20,2026,LAA,TOR,0,2,5
2026-04-20,2026,MIA,STL,1,5,3
2026-04-20,2026,SEA,OAK,0,4,6
2026-04-20,2026,TBR,CIN,0,1,6
2026-04-20,2026,WSN,ATL,0,4,9
2026-04-21,2026,ARI,CHW,0,5,11
2026-04-21,2026,BOS,NYY,0,0,4
2026-04-21,2026,CHC,PHI,1,7,4
2026-04-21,2026,CLE,HOU,1,8,5
2026-04-21,2026,COL,SDP,0,0,1
2026-04-21,2026,DET,MIL,0,4,12
2026-04-21,2026,KCR,BAL,1,6,5
2026-04-21,2026,LAA,TOR,0,2,4
2026-04-21,2026,MIA,STL,0,3,5
2026-04-21,2026,NYM,MIN,0,3,5
2026-04-21,2026,SEA,OAK,0,2,5
2026-04-21,2026,SFG,LAD,1,3,1
2026-04-21,2026,TBR,CIN,0,6,12
2026-04-21,2026,TEX,PIT,1,5,1
2026-04-21,2026,WSN,ATL,1,11,4
2026-04-22,2026,ARI,CHW,1,11,7
2026-04-22,2026,BOS,NYY,0,1,4
2026-04-22,2026,CHC,PHI,1,7,2
2026-04-22,2026,CLE,HOU,0,0,2
2026-04-22,2026,COL,SDP,1,8,3
2026-04-22,2026,DET,MIL,1,5,2
2026-04-22,2026,KCR,BAL,0,6,8
2026-04-22,2026,LAA,TOR,1,7,3
2026-04-22,2026,MIA,STL,1,4,1
2026-04-22,2026,NYM,MIN,1,3,2
2026-04-22,2026,SEA,OAK,1,5,4
2026-04-22,2026,SFG,LAD,1,3,0
2026-04-22,2026,TBR,CIN,1,6,1
2026-04-22,2026,TEX,PIT,0,4,8
2026-04-22,2026,WSN,ATL,0,6,8
2026-04-23,2026,ARI,CHW,0,1,4
2026-04-23,2026,BOS,NYY,0,2,4
2026-04-23,2026,CHC,PHI,1,8,7
2026-04-23,2026,COL,SDP,0,8,10
2026-04-23,2026,DET,MIL,1,5,4
2026-04-23,2026,NYM,MIN,1,10,8
2026-04-23,2026,SFG,LAD,0,0,3
2026-04-23,2026,TEX,PIT,1,6,1
2026-04-23,2026,WSN,ATL,0,2,7
2026-04-24,2026,ATL,PHI,1,5,3
2026-04-24,2026,BAL,BOS,1,10,3
2026-04-24,2026,CHW,WSN,1,5,4
2026-04-24,2026,CIN,DET,1,9,8
2026-04-24,2026,HOU,NYY,0,4,12
2026-04-24,2026,KCR,LAA,1,6,3
2026-04-24,2026,LAD,CHC,0,4,6
2026-04-24,2026,MIL,PIT,0,0,6
2026-04-24,2026,NYM,COL,0,3,4
2026-04-24,2026,SFG,MIA,0,4,9
2026-04-24,2026,STL,SEA,0,2,3
2026-04-24,2026,TBR,MIN,1,6,2
2026-04-24,2026,TEX,OAK,0,1,8
2026-04-24,2026,TOR,CLE,0,6,8
2026-04-25,2026,ARI,SDP,0,4,6
2026-04-25,2026,ATL,PHI,0,5,8
2026-04-25,2026,BAL,BOS,0,1,17
2026-04-25,2026,CHW,WSN,0,3,6
2026-04-25,2026,CIN,DET,1,9,2
2026-04-25,2026,HOU,NYY,0,3,8
2026-04-25,2026,KCR,LAA,1,12,1
2026-04-25,2026,LAD,CHC,1,12,4
2026-04-25,2026,MIL,PIT,0,3,6
2026-04-25,2026,SFG,MIA,1,6,2
2026-04-25,2026,STL,SEA,0,9,11
2026-04-25,2026,TBR,MIN,1,6,1
2026-04-25,2026,TEX,OAK,1,4,3
2026-04-25,2026,TOR,CLE,1,5,3
2026-04-26,2026,ARI,SDP,1,12,7
2026-04-26,2026,ATL,PHI,1,6,2
2026-04-26,2026,BAL,BOS,0,3,5
2026-04-26,2026,CHW,WSN,0,1,2
2026-04-26,2026,CIN,DET,0,3,8
2026-04-26,2026,HOU,NYY,1,7,4
2026-04-26,2026,KCR,LAA,1,11,9
2026-04-26,2026,LAD,CHC,1,6,0
2026-04-26,2026,MIL,PIT,1,5,0
2026-04-26,2026,NYM,COL,0,1,3
2026-04-26,2026,SFG,MIA,1,6,3
2026-04-26,2026,STL,SEA,0,2,3
2026-04-26,2026,TBR,MIN,1,4,2
2026-04-26,2026,TEX,OAK,0,1,2
2026-04-26,2026,TOR,CLE,1,4,2
2026-04-27,2026,CHW,LAA,1,8,7
2026-04-27,2026,CLE,TBR,0,2,3
2026-04-27,2026,LAD,MIA,1,5,4
2026-04-27,2026,MIN,SEA,1,11,4
2026-04-27,2026,PIT,STL,0,2,4
2026-04-27,2026,SDP,CHC,1,9,7
2026-04-27,2026,TEX,NYY,0,2,4
2026-04-27,2026,TOR,BOS,0,0,5
2026-04-28,2026,ATL,DET,1,5,2
2026-04-28,2026,BAL,HOU,1,5,3
2026-04-28,2026,CHW,LAA,1,5,2
2026-04-28,2026,CIN,COL,1,7,2
2026-04-28,2026,CLE,TBR,0,0,1
2026-04-28,2026,LAD,MIA,0,1,2
2026-04-28,2026,MIL,ARI,1,13,2
2026-04-28,2026,MIN,SEA,0,1,7
2026-04-28,2026,NYM,WSN,1,8,0
2026-04-28,2026,OAK,KCR,0,1,4
2026-04-28,2026,PHI,SFG,1,7,0
2026-04-28,2026,PIT,STL,0,7,11
2026-04-28,2026,SDP,CHC,0,3,8
2026-04-28,2026,TEX,NYY,0,2,3
2026-04-28,2026,TOR,BOS,1,3,0
2026-04-29,2026,ATL,DET,1,4,3
2026-04-29,2026,CHW,LAA,1,3,2
2026-04-29,2026,CIN,COL,0,2,13
2026-04-29,2026,CLE,TBR,1,3,1
2026-04-29,2026,LAD,MIA,0,2,3
2026-04-29,2026,MIL,ARI,0,2,6
2026-04-29,2026,MIN,SEA,0,3,5
2026-04-29,2026,NYM,WSN,0,2,14
2026-04-29,2026,OAK,KCR,1,5,2
2026-04-29,2026,PIT,STL,0,4,5
2026-04-29,2026,SDP,CHC,0,4,5
2026-04-29,2026,TEX,NYY,1,3,0
2026-04-29,2026,TOR,BOS,1,8,1
