Date,home_team,away_team,game_number,year,home_sp_id,home_sp_name,away_sp_id,away_sp_name,game_pk,game_id
2026-03-29,PHI,TEX,1,2026,mlb_666200,Jesús Luzardo,mlb_669022,MacKenzie Gore,,20260329_PHI_TEX_1
2026-03-29,SEA,CLE,1,2026,mlb_676106,Emerson Hancock,mlb_677944,Slade Cecconi,,20260329_SEA_CLE_1
2026-03-29,STL,TBR,1,2026,mlb_669160,Dustin May,mlb_571927,Steven Matz,,20260329_STL_TBR_1
2026-03-29,TOR,ATH,1,2026,mlb_641778,Eric Lauer,mlb_806960,Luis Morales,,20260329_TOR_ATH_1
2026-03-30,ARI,DET,1,2026,mlb_647336,Michael Soroka,mlb_434378,Justin Verlander,,20260330_ARI_DET_1
2026-03-30,ATL,ATH,1,2026,mlb_693821,Bryce Elder,mlb_682052,Jacob Lopez,,20260330_ATL_ATH_1
2026-03-30,BAL,TEX,1,2026,mlb_605135,Chris Bassitt,mlb_683004,Jack Leiter,,20260330_BAL_TEX_1
2026-03-30,CHC,LAA,1,2026,mlb_665795,Edward Cabrera,mlb_696270,Ryan Johnson,,20260330_CHC_LAA_1
2026-03-30,CIN,PIT,1,2026,mlb_695505,Chase Burns,mlb_677952,Braxton Ashcraft,,20260330_CIN_PIT_1
2026-03-30,HOU,BOS,1,2026,mlb_621121,Lance McCullers Jr.,mlb_624133,Ranger Suarez,,20260330_HOU_BOS_1
2026-03-30,KCR,MIN,1,2026,mlb_663460,Kris Bubic,mlb_680573,Simeon Woods Richardson,,20260330_KCR_MIN_1
2026-03-30,LAD,CLE,1,2026,mlb_808963,Roki Sasaki,mlb_800048,Parker Messick,,20260330_LAD_CLE_1
2026-03-30,MIA,CHW,1,2026,mlb_663978,Chris Paddack,mlb_663436,Davis Martin,,20260330_MIA_CHW_1
2026-03-30,MIL,TBR,1,2026,mlb_690986,Kyle Harrison,mlb_607259,Nick Martinez,,20260330_MIL_TBR_1
2026-03-30,PHI,WSN,1,2026,mlb_592836,Taijuan Walker,mlb_656492,Foster Griffin,,20260330_PHI_WSN_1
2026-03-30,SDP,SFG,1,2026,mlb_621111,Walker Buehler,mlb_694738,Landen Roupp,,20260330_SDP_SFG_1
2026-03-30,SEA,NYY,1,2026,mlb_622491,Luis Castillo,mlb_677960,Ryan Weathers,,20260330_SEA_NYY_1
2026-03-30,STL,NYM,1,2026,mlb_681517,Kyle Leahy,mlb_605280,Clay Holmes,,20260330_STL_NYM_1
2026-03-30,TOR,COL,1,2026,mlb_664074,Cody Ponce,mlb_608372,Tomoyuki Sugano,,20260330_TOR_COL_1
2026-03-31,ARI,DET,1,2026,mlb_694297,Brandon Pfaadt,mlb_663554,Casey Mize,,20260331_ARI_DET_1
2026-03-31,ATL,ATH,1,2026,mlb_660761,José Suarez,mlb_650644,Aaron Civale,,20260331_ATL_ATH_1
2026-03-31,BAL,TEX,1,2026,mlb_621107,Zach Eflin,mlb_594798,Jacob deGrom,,20260331_BAL_TEX_1
2026-03-31,CHC,LAA,1,2026,mlb_592791,Jameson Taillon,mlb_667755,José Soriano,,20260331_CHC_LAA_1
2026-03-31,CIN,PIT,1,2026,mlb_682227,Brandon Williamson,mlb_696149,Bubba Chandler,,20260331_CIN_PIT_1
2026-03-31,HOU,BOS,1,2026,mlb_686613,Hunter Brown,mlb_678394,Brayan Bello,,20260331_HOU_BOS_1
2026-03-31,LAD,CLE,1,2026,mlb_660271,Shohei Ohtani,mlb_676440,Tanner Bibee,,20260331_LAD_CLE_1
2026-03-31,MIA,CHW,1,2026,mlb_676083,Janson Junk,mlb_607200,Erick Fedde,,20260331_MIA_CHW_1
2026-03-31,MIL,TBR,1,2026,mlb_605540,Brandon Woodruff,mlb_663556,Shane McClanahan,,20260331_MIL_TBR_1
2026-03-31,PHI,WSN,1,2026,mlb_691725,Andrew Painter,mlb_676571,PJ Poulin,,20260331_PHI_WSN_1
2026-03-31,SDP,SFG,1,2026,mlb_608566,Germán Márquez,mlb_657277,Logan Webb,,20260331_SDP_SFG_1
2026-03-31,SEA,NYY,1,2026,mlb_669302,Logan Gilbert,mlb_608331,Max Fried,,20260331_SEA_NYY_1
