feature,bucket,games,bets,wins,win_rate,avg_value,avg_edge,staked,pnl,roi
sp_k_pct_diff,mid,109.0,109.0,48.0,0.44036697247706424,-0.0022780943835459247,0.0729605504587156,262.53,14.909999999999995,0.05679350931322133
sp_k_pct_diff,high,110.0,110.0,54.0,0.4909090909090909,0.021321651611461656,0.07148363636363639,260.21000000000004,62.06000000000001,0.23849967334076322
home_sp_xfip,low,110.0,110.0,51.0,0.4636363636363636,3.5643181818181815,0.07289909090909091,268.46999999999997,21.49000000000001,0.0800461876559765
home_sp_xfip,mid,109.0,109.0,53.0,0.48623853211009177,3.871238532110092,0.0752954128440367,277.19999999999993,61.2,0.22077922077922085
home_sp_xfip,high,110.0,110.0,46.0,0.41818181818181815,4.512772727272727,0.09243454545454548,362.19,-8.190000000000001,-0.02261244098401392
away_sp_xfip,low,110.0,110.0,51.0,0.4636363636363636,3.5643181818181815,0.07289909090909091,268.46999999999997,21.49000000000001,0.0800461876559765
away_sp_xfip,mid,109.0,109.0,53.0,0.48623853211009177,3.871238532110092,0.0752954128440367,277.19999999999993,61.2,0.22077922077922085
away_sp_xfip,high,110.0,110.0,46.0,0.41818181818181815,4.512772727272727,0.09243454545454548,362.19,-8.190000000000001,-0.02261244098401392
sp_xfip_diff,low,110.0,110.0,44.0,0.4,-0.9669090909090909,0.09471727272727273,377.03000000000003,-31.14000000000001,-0.08259289711694032
sp_xfip_diff,mid,110.0,110.0,54.0,0.4909090909090909,0.08240909090909077,0.07362636363636364,272.32,56.66,0.20806404230317274
sp_xfip_diff,high,109.0,109.0,52.0,0.47706422018348627,0.6385779816513759,0.07225779816513762,258.51000000000005,48.98,0.1894704266759506
home_sp_pa,low,170.0,170.0,76.0,0.4470588235294118,479.9235294117647,0.07766176470588236,449.49,41.48000000000001,0.0922823644574963
home_sp_pa,mid,98.0,98.0,45.0,0.45918367346938777,722.1632653061224,0.07227551020408166,234.98000000000005,15.640000000000004,0.06655885607285728
home_sp_pa,high,11.0,11.0,7.0,0.6363636363636364,774.3636363636364,0.09402727272727272,37.17,21.299999999999997,0.5730427764326068
away_sp_pa,low,170.0,170.0,76.0,0.4470588235294118,479.9235294117647,0.07766176470588236,449.49,41.48000000000001,0.0922823644574963
away_sp_pa,mid,98.0,98.0,45.0,0.45918367346938777,722.1632653061224,0.07227551020408166,234.98000000000005,15.640000000000004,0.06655885607285728
away_sp_pa,high,11.0,11.0,7.0,0.6363636363636364,774.3636363636364,0.09402727272727272,37.17,21.299999999999997,0.5730427764326068
sp_pa_diff,low,121.0,121.0,58.0,0.4793388429752066,-257.88429752066116,0.07486611570247935,303.66999999999996,49.10000000000001,0.16168867520663885
sp_pa_diff,mid,129.0,129.0,60.0,0.46511627906976744,301.1860465116279,0.07661240310077519,334.91,32.67,0.09754859514496432
sp_pa_diff,high,7.0,7.0,2.0,0.2857142857142857,537.1428571428571,0.08522857142857143,21.06,-0.7000000000000006,-0.033238366571699936
sp_days_rest_diff,low,111.0,111.0,54.0,0.4864864864864865,-1.1711711711711712,0.0729684684684685,272.0599999999999,63.73000000000001,0.2342497978387122
sp_days_rest_diff,mid,192.0,192.0,81.0,0.421875,1.0833333333333333,0.08288749999999999,551.39,-24.77,-0.04492283138976042
sp_days_rest_diff,high,21.0,21.0,11.0,0.5238095238095238,5.428571428571429,0.09062857142857143,66.01,15.299999999999999,0.2317830631722466
home_sp_outs_last,low,138.0,138.0,54.0,0.391304347826087,14.44927536231884,0.09478333333333332,472.66999999999996,-55.22,-0.11682569234349546
home_sp_outs_last,mid,102.0,102.0,50.0,0.49019607843137253,20.794117647058822,0.07068431372549021,235.05,55.559999999999995,0.2363752393107849
