date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-08-31,ARI @ LAD,5.0,4.0,,0.0,193.0,0.3514,0.3266,0.0248,+170+,,+170+ excluded by static_underdog_130_170,,0.0,129.26,LAD,ARI,away,False,Brandon Pfaadt,Yoshinobu Yamamoto,R,R,,,mid
2025-08-31,SDP @ MIN,7.0,2.0,,0.0,106.0,0.52,0.4654,0.0545,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,MIN,SDP,away,False,David Morgan,Joe Ryan,R,R,,,mid
2025-08-31,SEA @ CLE,2.0,4.0,,0.0,,,,,,,missing odds,,0.0,129.26,CLE,SEA,,,,,,,,,
2025-08-31,MIL @ TOR,8.0,4.0,,0.0,-113.8,0.5299,0.5075,0.0224,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,129.26,TOR,MIL,away,True,Brandon Woodruff,Max Scherzer,R,R,,,mid
2025-09-01,CHW @ MIN,5.0,6.0,,0.0,-177.8,0.6777,0.6103,0.0673,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,MIN,CHW,home,True,Bailey Ober,Fraser Ellard,R,L,,,late
2025-09-01,SEA @ TBR,10.0,2.0,,0.0,,,,,,,missing odds,,0.0,129.26,TBR,SEA,,,,,,,,,
2025-09-01,SFG @ COL,2.0,8.0,,0.0,121.8,0.4711,0.4323,0.0388,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,COL,SFG,home,False,Chase Dollander,Kai-Wei Teng,R,R,,,late
2025-09-01,MIA @ WSN,2.0,0.0,,0.0,,,,,,,missing odds,,0.0,129.26,WSN,MIA,,,,,,,,,
2025-09-01,NYM @ DET,8.0,10.0,,0.0,-105.5,0.5647,0.4911,0.0736,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,129.26,DET,NYM,home,True,Charlie Morton,Sean Manaea,R,L,,,late
2025-09-01,LAA @ HOU,8.0,3.0,,0.0,-161.0,0.6956,0.5909,0.1047,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,HOU,LAA,home,True,Luis Garcia,Yusei Kikuchi,R,L,,,late
